"","unique_name","bin_assignment","min_ma","max_ma","collection_no","paleolat2.x","paleolng2.x"
"1","Zhangheotherium sp.",31,122.46,129.4,10761,43.17,122.28
"2","Zhangheotherium sp.",32,122.46,129.4,10761,43.17,122.28
"3","Deltatheridium sp.",38,70.6,83.5,11582,39.3,90.01
"4","Deltatheridium sp.",39,70.6,83.5,11582,39.3,90.01
"5","Asioryctes sp.",38,70.6,83.5,11582,39.3,90.01
"6","Asioryctes sp.",39,70.6,83.5,11582,39.3,90.01
"7","Chulsanbaatar sp.",38,70.6,83.5,11582,39.3,90.01
"8","Chulsanbaatar sp.",39,70.6,83.5,11582,39.3,90.01
"9","Nemegtbaatar sp.",38,70.6,83.5,11582,39.3,90.01
"10","Nemegtbaatar sp.",39,70.6,83.5,11582,39.3,90.01
"11","Barunlestes sp.",38,70.6,83.5,11582,39.3,90.01
"12","Barunlestes sp.",39,70.6,83.5,11582,39.3,90.01
"13","Morganucodon sp.",17,199.3,201.3,11805,34.37,104.66
"14","Laolestes sp.",26,145,157.3,12816,37.84,-53.28
"15","Laolestes sp.",27,145,157.3,12816,37.84,-53.28
"16","Tathiodon sp.",26,145,157.3,12816,37.84,-53.28
"17","Tathiodon sp.",27,145,157.3,12816,37.84,-53.28
"18","Dryolestes sp.",26,145,157.3,12816,37.84,-53.28
"19","Dryolestes sp.",27,145,157.3,12816,37.84,-53.28
"20","Tinodon sp.",26,145,157.3,12816,37.84,-53.28
"21","Tinodon sp.",27,145,157.3,12816,37.84,-53.28
"22","Herpetairus sp.",26,145,157.3,12816,37.84,-53.28
"23","Herpetairus sp.",27,145,157.3,12816,37.84,-53.28
"24","Malthacolestes sp.",26,145,157.3,12816,37.84,-53.28
"25","Malthacolestes sp.",27,145,157.3,12816,37.84,-53.28
"26","Archaeotrigon sp.",26,145,157.3,12816,37.84,-53.28
"27","Archaeotrigon sp.",27,145,157.3,12816,37.84,-53.28
"28","Melanodon sp.",26,145,157.3,12816,37.84,-53.28
"29","Melanodon sp.",27,145,157.3,12816,37.84,-53.28
"30","Docodon sp.",26,145,157.3,12816,37.84,-53.28
"31","Docodon sp.",27,145,157.3,12816,37.84,-53.28
"32","Priacodon sp.",26,145,157.3,12816,37.84,-53.28
"33","Priacodon sp.",27,145,157.3,12816,37.84,-53.28
"34","Comodon sp.",26,145,157.3,12816,37.84,-53.28
"35","Comodon sp.",27,145,157.3,12816,37.84,-53.28
"36","Dryolestes sp.",26,145,157.3,12816,37.84,-53.28
"37","Dryolestes sp.",27,145,157.3,12816,37.84,-53.28
"38","Amblotherium sp.",26,145,157.3,12816,37.84,-53.28
"39","Amblotherium sp.",27,145,157.3,12816,37.84,-53.28
"40","Paurodon sp.",26,145,157.3,12816,37.84,-53.28
"41","Paurodon sp.",27,145,157.3,12816,37.84,-53.28
"42","Laolestes sp.",26,145,157.3,12816,37.84,-53.28
"43","Laolestes sp.",27,145,157.3,12816,37.84,-53.28
"44","Tinodon sp.",26,145,157.3,12816,37.84,-53.28
"45","Tinodon sp.",27,145,157.3,12816,37.84,-53.28
"46","Priacodon sp.",26,145,157.3,12816,37.84,-53.28
"47","Priacodon sp.",27,145,157.3,12816,37.84,-53.28
"48","Priacodon sp.",26,145,157.3,12816,37.84,-53.28
"49","Priacodon sp.",27,145,157.3,12816,37.84,-53.28
"50","Docodon sp.",26,145,157.3,12816,37.84,-53.28
"51","Docodon sp.",27,145,157.3,12816,37.84,-53.28
"54","Dryolestes sp.",26,145,157.3,12816,37.84,-53.28
"55","Dryolestes sp.",27,145,157.3,12816,37.84,-53.28
"56","Dryolestes sp.",26,145,157.3,12816,37.84,-53.28
"57","Dryolestes sp.",27,145,157.3,12816,37.84,-53.28
"58","Pelicopsis sp.",26,145,157.3,12816,37.84,-53.28
"59","Pelicopsis sp.",27,145,157.3,12816,37.84,-53.28
"60","Ctenacodon sp.",26,145,157.3,12816,37.84,-53.28
"61","Ctenacodon sp.",27,145,157.3,12816,37.84,-53.28
"62","Dryolestes sp.",26,145,157.3,12816,37.84,-53.28
"63","Dryolestes sp.",27,145,157.3,12816,37.84,-53.28
"64","Laolestes sp.",26,145,157.3,12816,37.84,-53.28
"65","Laolestes sp.",27,145,157.3,12816,37.84,-53.28
"66","Aploconodon sp.",26,145,157.3,12816,37.84,-53.28
"67","Aploconodon sp.",27,145,157.3,12816,37.84,-53.28
"68","Priacodon sp.",26,145,157.3,12816,37.84,-53.28
"69","Priacodon sp.",27,145,157.3,12816,37.84,-53.28
"70","Psalodon sp.",26,145,157.3,12816,37.84,-53.28
"71","Psalodon sp.",27,145,157.3,12816,37.84,-53.28
"72","Ctenacodon sp.",26,145,157.3,12816,37.84,-53.28
"73","Ctenacodon sp.",27,145,157.3,12816,37.84,-53.28
"76","Tinodon sp.",26,145,157.3,12816,37.84,-53.28
"77","Tinodon sp.",27,145,157.3,12816,37.84,-53.28
"78","Euthlastus sp.",26,145,157.3,12816,37.84,-53.28
"79","Euthlastus sp.",27,145,157.3,12816,37.84,-53.28
"80","Tinodon sp.",26,145,157.3,12816,37.84,-53.28
"81","Tinodon sp.",27,145,157.3,12816,37.84,-53.28
"82","Amphidon sp.",26,145,157.3,12816,37.84,-53.28
"83","Amphidon sp.",27,145,157.3,12816,37.84,-53.28
"84","Amblotherium sp.",26,145,157.3,12816,37.84,-53.28
"85","Amblotherium sp.",27,145,157.3,12816,37.84,-53.28
"86","Ennacodon sp.",26,145,157.3,12816,37.84,-53.28
"87","Ennacodon sp.",27,145,157.3,12816,37.84,-53.28
"88","Psalodon sp.",26,145,157.3,12816,37.84,-53.28
"89","Psalodon sp.",27,145,157.3,12816,37.84,-53.28
"90","Dryolestes sp.",26,145,157.3,12816,37.84,-53.28
"91","Dryolestes sp.",27,145,157.3,12816,37.84,-53.28
"94","Trioracodon sp.",26,145,157.3,12816,37.84,-53.28
"95","Trioracodon sp.",27,145,157.3,12816,37.84,-53.28
"96","Docodon sp.",26,145,157.3,12816,37.84,-53.28
"97","Docodon sp.",27,145,157.3,12816,37.84,-53.28
"98","Comotherium sp.",26,145,157.3,12816,37.84,-53.28
"99","Comotherium sp.",27,145,157.3,12816,37.84,-53.28
"100","Ctenacodon sp.",26,145,157.3,12816,37.84,-53.28
"101","Ctenacodon sp.",27,145,157.3,12816,37.84,-53.28
"102","Docodon sp.",26,145,157.3,12816,37.84,-53.28
"103","Docodon sp.",27,145,157.3,12816,37.84,-53.28
