"","unique_name","bin","Interval","min_ma","max_ma","collection_no","paleolat2.x","paleolng2.x"
"1","Zhangheotherium sp.",29,"Barremian",122.46,129.4,10761,43.17,122.28
"2","Zhangheotherium sp.",29,"Aptian",122.46,129.4,10761,43.17,122.28
"3","Deltatheridium sp.",5,"Campanian",70.6,83.5,11582,39.3,90.01
"4","Deltatheridium sp.",5,"Maastrichtian",70.6,83.5,11582,39.3,90.01
"5","Asioryctes sp.",5,"Campanian",70.6,83.5,11582,39.3,90.01
"6","Asioryctes sp.",5,"Maastrichtian",70.6,83.5,11582,39.3,90.01
"7","Chulsanbaatar sp.",5,"Campanian",70.6,83.5,11582,39.3,90.01
"8","Chulsanbaatar sp.",5,"Maastrichtian",70.6,83.5,11582,39.3,90.01
"9","Nemegtbaatar sp.",5,"Campanian",70.6,83.5,11582,39.3,90.01
"10","Nemegtbaatar sp.",5,"Maastrichtian",70.6,83.5,11582,39.3,90.01
"11","Barunlestes sp.",5,"Campanian",70.6,83.5,11582,39.3,90.01
"12","Barunlestes sp.",5,"Maastrichtian",70.6,83.5,11582,39.3,90.01
"13","Morganucodon sp.",67,"Hettangian",199.3,201.3,11805,34.37,104.66
"14","Laolestes sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"15","Laolestes sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"16","Tathiodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"17","Tathiodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"18","Dryolestes sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"19","Dryolestes sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"20","Tinodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"21","Tinodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"22","Herpetairus sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"23","Herpetairus sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"24","Malthacolestes sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"25","Malthacolestes sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"26","Archaeotrigon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"27","Archaeotrigon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"28","Melanodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"29","Melanodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"30","Docodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"31","Docodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"32","Priacodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"33","Priacodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"34","Comodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"35","Comodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"36","Dryolestes sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"37","Dryolestes sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"38","Amblotherium sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"39","Amblotherium sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"40","Paurodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"41","Paurodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"42","Laolestes sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"43","Laolestes sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"44","Tinodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"45","Tinodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"46","Priacodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"47","Priacodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"48","Priacodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"49","Priacodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"50","Docodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"51","Docodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"54","Dryolestes sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"55","Dryolestes sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"56","Dryolestes sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"57","Dryolestes sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"58","Pelicopsis sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"59","Pelicopsis sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"60","Ctenacodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"61","Ctenacodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"62","Dryolestes sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"63","Dryolestes sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"64","Laolestes sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"65","Laolestes sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"66","Aploconodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"67","Aploconodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"68","Priacodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"69","Priacodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"70","Psalodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"71","Psalodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"72","Ctenacodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"73","Ctenacodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"76","Tinodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"77","Tinodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"78","Euthlastus sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"79","Euthlastus sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"80","Tinodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"81","Tinodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"82","Amphidon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"83","Amphidon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"84","Amblotherium sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"85","Amblotherium sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"86","Ennacodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"87","Ennacodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"88","Psalodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"89","Psalodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"90","Dryolestes sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"91","Dryolestes sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"94","Trioracodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"95","Trioracodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"96","Docodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"97","Docodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"98","Comotherium sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"99","Comotherium sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"100","Ctenacodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"101","Ctenacodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"102","Docodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"103","Docodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"104","Amblotherium sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"105","Amblotherium sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"106","Ctenacodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"107","Ctenacodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"108","Miccylotyrans sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"109","Miccylotyrans sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"110","Archaeotrigon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"111","Archaeotrigon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"112","Psalodon sp.",42,"Kimmeridgian",145,157.3,12816,37.84,-53.28
"113","Psalodon sp.",42,"Tithonian",145,157.3,12816,37.84,-53.28
"116","Massetognathus sp.",86,"Ladinian",237,242,13003,-49.89,-37.76
"117","Chiniquodon sp.",86,"Ladinian",237,242,13003,-49.89,-37.76
"120","Dryolestes sp.",42,"Kimmeridgian",145,157.3,13212,37.85,-53.31
"121","Dryolestes sp.",42,"Tithonian",145,157.3,13212,37.85,-53.31
"124","Adelobasileus sp.",76,"Carnian",208.5,228,13266,8,-41.5
"125","Adelobasileus sp.",76,"Norian",208.5,228,13266,8,-41.5
"133","Massetognathus sp.",86,"Ladinian",237,242,13271,-49.88,-37.77
"136","Kayentatherium sp.",62,"Sinemurian",182.7,199.3,13280,20.08,-53.76
"137","Kayentatherium sp.",62,"Pliensbachian",182.7,199.3,13280,20.08,-53.76
"138","Buginbaatar sp.",1,"Maastrichtian",66,72.1,13347,41.07,88.53
"139","Asioryctes sp.",5,"Campanian",70.6,83.5,13776,39.74,91.35
"140","Asioryctes sp.",5,"Maastrichtian",70.6,83.5,13776,39.74,91.35
"141","Nemegtbaatar sp.",5,"Campanian",70.6,83.5,13776,39.74,91.35
"142","Nemegtbaatar sp.",5,"Maastrichtian",70.6,83.5,13776,39.74,91.35
"143","Chulsanbaatar sp.",5,"Campanian",70.6,83.5,13776,39.74,91.35
"144","Chulsanbaatar sp.",5,"Maastrichtian",70.6,83.5,13776,39.74,91.35
"145","Catopsbaatar sp.",5,"Campanian",70.6,83.5,13776,39.74,91.35
"146","Catopsbaatar sp.",5,"Maastrichtian",70.6,83.5,13776,39.74,91.35
"147","Barunlestes sp.",5,"Campanian",70.6,83.5,13776,39.74,91.35
"148","Barunlestes sp.",5,"Maastrichtian",70.6,83.5,13776,39.74,91.35
"149","Deltatheridium sp.",5,"Campanian",70.6,83.5,13776,39.74,91.35
"150","Deltatheridium sp.",5,"Maastrichtian",70.6,83.5,13776,39.74,91.35
"151","Kryptobaatar sp.",5,"Campanian",70.6,83.5,13777,39.28,90.16
"152","Kryptobaatar sp.",5,"Maastrichtian",70.6,83.5,13777,39.28,90.16
"153","Catopsbaatar sp.",5,"Campanian",70.6,83.5,13777,39.28,90.16
"154","Catopsbaatar sp.",5,"Maastrichtian",70.6,83.5,13777,39.28,90.16
"155","Catopsbaatar sp.",5,"Campanian",70.6,83.5,13777,39.28,90.16
"156","Catopsbaatar sp.",5,"Maastrichtian",70.6,83.5,13777,39.28,90.16
"157","Sinobaatar sp.",30,"Barremian",125,129.4,13937,42.96,123.04
"158","Chaoyangodens sp.",30,"Barremian",125,129.4,13937,42.96,123.04
"159","Sinodelphys sp.",30,"Barremian",125,129.4,13937,42.96,123.04
"160","Eomaia sp.",30,"Barremian",125,129.4,13937,42.96,123.04
"161","Akidolestes sp.",30,"Barremian",125,129.4,13937,42.96,123.04
"162","Megazostrodon sp.",65,"Hettangian",190.8,201.3,14228,-42.43,-0.77
"163","Megazostrodon sp.",65,"Sinemurian",190.8,201.3,14228,-42.43,-0.77
"164","Astroconodon sp.",24,"Aptian",109,122.46,14374,32.21,-50.71
"165","Astroconodon sp.",24,"Albian",109,122.46,14374,32.21,-50.71
"166","Holoclemensia sp.",24,"Aptian",109,122.46,14375,31.43,-52.47
"167","Holoclemensia sp.",24,"Albian",109,122.46,14375,31.43,-52.47
"168","Kermackia sp.",24,"Aptian",109,122.46,14375,31.43,-52.47
"169","Kermackia sp.",24,"Albian",109,122.46,14375,31.43,-52.47
"170","Paracimexomys sp.",24,"Aptian",109,122.46,14375,31.43,-52.47
"171","Paracimexomys sp.",24,"Albian",109,122.46,14375,31.43,-52.47
"172","Kermackia sp.",24,"Aptian",109,122.46,14375,31.43,-52.47
"173","Kermackia sp.",24,"Albian",109,122.46,14375,31.43,-52.47
"174","Astroconodon sp.",24,"Aptian",109,122.46,14375,31.43,-52.47
"175","Astroconodon sp.",24,"Albian",109,122.46,14375,31.43,-52.47
"176","Pappotherium sp.",24,"Aptian",109,122.46,14375,31.43,-52.47
"177","Pappotherium sp.",24,"Albian",109,122.46,14375,31.43,-52.47
"178","Pappotherium sp.",24,"Aptian",109,122.46,14375,31.43,-52.47
"179","Pappotherium sp.",24,"Albian",109,122.46,14375,31.43,-52.47
"180","Holoclemensia sp.",24,"Aptian",109,122.46,14375,31.43,-52.47
"181","Holoclemensia sp.",24,"Albian",109,122.46,14375,31.43,-52.47
"182","Argillomys sp.",25,"Aptian",112.03,122.46,14376,33.11,-31.11
"183","Argillomys sp.",25,"Albian",112.03,122.46,14376,33.11,-31.11
"184","Arundelconodon sp.",25,"Aptian",112.03,122.46,14376,33.11,-31.11
"185","Arundelconodon sp.",25,"Albian",112.03,122.46,14376,33.11,-31.11
"186","Gobiconodon sp.",17,"Albian",93.5,109,14377,44.77,-66.04
"187","Gobiconodon sp.",17,"Cenomanian",93.5,109,14377,44.77,-66.04
"188","Gobiconodon sp.",17,"Turonian",93.5,109,14377,44.77,-66.04
