"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"1",10761,"col","Yixian",120.8722,41.601398,"Sihetun, Yixian bed 8",NA,"",1,"Late Barremian","Early Aptian",125.77,119.5,13533
"2",11582,"col","Baruungoyot",99.599998,43.299999,"Khermeen Tsav, Red Beds (PIN coll. 3142) [SMPE]",NA,"Khermin Tsav; Khermin-Tsab; Hermiin Tsav, Soviet-Mongolian Paleontological Expedition",5,"Middle Campanian","Late Campanian",83.6,72.1,59136
"3",11805,"col","Lufeng",102.107323,25.172689,"Yang Tsao Ti, Lufeng (lower)",NA,"",1,"Hettangian","",201.4,199.5,43831
"4",12816,"col","Morrison",-106.00222,41.893055,"Quarry 9, Como Bluff (YPM)",NA,"Mammal Quarry, WY-15",50,"Kimmeridgian","Tithonian",154.8,145,10624
"5",12855,"col","El Molino",-65.940002,-17.687,"Pajcha Pata",NA,"Pajchapata",3,"Late Maastrichtian","",72.1,66,39674
"6",12858,"col","",-2.543611,51.252777,"Emborough Quarry",NA,"",1,"Rhaetian","",208.5,201.4,12302
"7",13003,"col","Chañares",-67.816666,-29.833332,"Los Chanares locality",NA,"",2,"Ladinian","",242,237,4303
"8",13212,"col","Morrison",-106.041,41.893101,"Quarry 1, Como Bluff (YPM)",NA,"WY-21",2,"Kimmeridgian","Tithonian",154.8,145,7811
"9",13220,"col","Santa Maria",-53.791389,-29.701944,"Therioherpeton site, Faixa Nova",NA,"Outcrop BR-14",2,"Carnian","Norian",237,208.5,4389
"10",13266,"col","Tecovas",-101.163887,33.433887,"NMMNH L-1430, Upper Kalgary",NA,"Dockum Formation",4,"Norian","",227,208.5,3846
"11",13268,"col","Vectis",-1.468,50.654499,"SZ 377840 Bernissartia locality (Wealden)",NA,"Isle of Wight",1,"Late Barremian","Early Aptian",125.77,119.5,4398
"12",13271,"col","Chañares",-67.820557,-29.823055,"Chañares River, 4 km north",26092,"Los Chañares",1,"Ladinian","",242,237,17343
"13",13273,"col","Cooper Canyon",-101.315002,33.521389,"Miller's Ranch Quarry",NA,"Post Quarry, Dockum Group, ETE Locality 1583, MOTT VPL 3624",1,"Norian","",227,208.5,63730
"14",13280,"col","Kayenta",-111.073608,35.736668,"Gold Spring Wash (MNA 291, MCZ 77 AR/4, TMM 43699)",NA,"Ward Terrace",1,"Sinemurian","Pliensbachian",199.5,184.2,4405
"15",13334,"col","Densuş-Ciula",22.845142,45.603615,"Tuştea-Oltoane nesting site",NA,"Valioara; Tuştea Oltoane; Tuştea nesting site; Vălioara; Valiora; Tustea, Ultoane",1,"Early Maastrichtian","",72.1,66,5971
