"","occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","geoplate","paleoage","paleolng","paleolat","paleomodel2","geoplate2","paleoage2","paleolng2","paleolat2","paleomodel3","geoplate3","paleoage3","paleolng3","paleolat3","phylum","class","order","family","genus","lat","lng"
"3",138845,"occ",NA,"",11805,"Morganucodon n. sp. oehleri","species",203398,"","Morganucodon oehleri","species",203398,"Hettangian","",201.4,199.5,43837,"gplates","611","mid",120.2,37.81,"scotese","611","mid",104.66,34.37,"seton","602","mid",118.19,43.26,"Chordata","Osteichthyes","Morganucodonta","Morganucodontidae","Morganucodon",25.172689,102.107323
"9",149619,"occ",NA,"",13220,"n. gen. Therioherpeton n. sp. cargnini","species",95407,"","Therioherpeton cargnini","species",95407,"Carnian","Norian",237,208.5,4389,"gplates","201","mid",-9,-38.72,"scotese","202","mid",-17.02,-38.96,"seton","not computable using this model","",NA,NA,"Chordata","Osteichthyes","Cotylosauria","NO_FAMILY_SPECIFIED","Therioherpeton",-29.701944,-53.791389
"10",149837,"occ",NA,"",13266,"n. gen. Adelobasileus n. sp. cromptoni","species",53176,"","Adelobasileus cromptoni","species",53176,"Norian","",227,208.5,3846,"gplates","101","mid",-30.75,7.72,"scotese","101","mid",-41.5,8,"seton","not computable using this model","",NA,NA,"Chordata","Osteichthyes","Cotylosauria","NO_FAMILY_SPECIFIED","Adelobasileus",33.433887,-101.163887
"10.1",149844,"occ",17945,"",13266,"Cynodontia indet.","infraorder",39168,"","Cynodontia","infraorder",39168,"Norian","",227,208.5,17273,"gplates","101","mid",-30.75,7.72,"scotese","101","mid",-41.5,8,"seton","not computable using this model","",NA,NA,"Chordata","Osteichthyes","Cotylosauria","","",33.433887,-101.163887
"11",149857,"occ",NA,"",13268,"Mammalia indet.","class",36651,"","Mammalia","class",36651,"Late Barremian","Early Aptian",125.77,119.5,4398,"gplates","315","mid",24.07,37.88,"scotese","315","mid",10.14,40.9,"seton","331","mid",14.18,34.67,"Chordata","Mammalia","","","",50.654499,-1.468
"12",149868,"occ",24304,"",13271,"Massetognathus teruggii","species",80894,"subjective synonym of","Massetognathus pascuali","species",80893,"Ladinian","",242,237,13754,"gplates","291","mid",-27.03,-33.78,"scotese","291","mid",-37.77,-49.88,"seton","not computable using this model","",NA,NA,"Chordata","Osteichthyes","Cotylosauria","Traversodontidae","Massetognathus",-29.823055,-67.820557
"13",149921,"occ",34158,"",13273,"Pachygenelus n. sp. milleri","species",144450,"nomen dubium","Tritheledontidae","family",39229,"Norian","",227,208.5,29595,"gplates","101","mid",-30.86,7.83,"scotese","101","mid",-41.61,8.1,"seton","not computable using this model","",NA,NA,"Chordata","Osteichthyes","Cotylosauria","Tritheledontidae","",33.521389,-101.315002
"17",154976,"occ",NA,"",13776,"Djadochtatherium catopsaloides","species",204041,"recombined as","Catopsbaatar catopsaloides","species",204041,"Middle Campanian","Late Campanian",83.6,72.1,7761,"gplates","628","mid",96.69,38,"scotese","628","mid",91.35,39.74,"seton","417","mid",101.01,46.87,"Chordata","Mammalia","Multituberculata","Djadochtatheriidae","Catopsbaatar",43.487499,101.125
"17.1",154977,"occ",NA,"",13776,"Nemegtbaatar gobiensis","species",204010,"","Nemegtbaatar gobiensis","species",204010,"Middle Campanian","Late Campanian",83.6,72.1,7761,"gplates","628","mid",96.69,38,"scotese","628","mid",91.35,39.74,"seton","417","mid",101.01,46.87,"Chordata","Mammalia","Multituberculata","NO_FAMILY_SPECIFIED","Nemegtbaatar",43.487499,101.125
"17.2",154978,"occ",NA,"",13776,"n. gen. Chulsanbaatar n. sp. vulgaris","species",204040,"","Chulsanbaatar vulgaris","species",204040,"Middle Campanian","Late Campanian",83.6,72.1,7761,"gplates","628","mid",96.69,38,"scotese","628","mid",91.35,39.74,"seton","417","mid",101.01,46.87,"Chordata","Mammalia","Multituberculata","NO_FAMILY_SPECIFIED","Chulsanbaatar",43.487499,101.125
"17.3",154979,"occ",NA,"",13776,"n. gen. Barunlestes n. sp. butleri","species",57289,"","Barunlestes butleri","species",57289,"Middle Campanian","Late Campanian",83.6,72.1,10442,"gplates","628","mid",96.69,38,"scotese","628","mid",91.35,39.74,"seton","417","mid",101.01,46.87,"Chordata","Mammalia","NO_ORDER_SPECIFIED","Zalambdalestidae","Barunlestes",43.487499,101.125
