"","record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"1","str","","","","""carbonate"",""limestone"",""limestone""/marl,claystone,claystone/conglomerate,claystone/sandstone,claystone/siltstone,conglomerate,conglomerate/marl,grainstone/rudstone,marl,mudstone,sandstone,sandstone/marl,sandstone/mudstone,siltstone",70.6,66,"BR,CA,DE,FR,IN,KZ,LU,MA,NA,PL,RO,RU,UK,US,ZA",59,152
"2","str","","","2","claystone/marl",150.8,145,"FR",1,3
"3","str","","""Berching""","","marl",167.7,164.7,"DE",1,1
"4","str","","Aguja","","mudstone/sandstone",83.5,70.6,"US",1,3
"5","str","","Aguja","Upper Shale","conglomerate,conglomerate/sandstone,sandstone/mudstone",83.5,70.6,"US",8,40
"6","str","","Aitym","","",93.5,86.3,"UZ",1,15
"7","str","","Alcobaça","","coal",157.3,152.1,"PT",1,42
"8","str","","Anacleto","","claystone",83.5,70.6,"AR",1,1
"9","str","","Anoual","Lower Anoual","marl",168.3,166.1,"MA",1,2
"10","str","","Argilas de Aveiro","","conglomerate/lime mudstone",72.1,66,"PT",1,5
"11","str","","Argiles et Grès à Reptiles","","sandstone",83.5,70.6,"FR",1,1
"12","str","","Artoles","","sandstone/conglomerate",130,125.45,"ES",1,9
"13","str","","Bagua","Fundo El Triunfo","""shale""",83.5,66,"PE",1,1
"14","str","","Balabansai","","""siliciclastic"",claystone,sandstone/siltstone,siltstone",166.1,163.5,"KG",4,16
"15","str","","Baruungoyot","","mudstone/sandstone,sandstone,sandstone/conglomerate,sandstone/mudstone",83.5,70.6,"MN",12,34
"16","str","","Batylykh","","sandstone",145,125,"RU",1,5
"17","str","","Bayan Mandahu","","sandstone",83.6,72.1,"CN",4,4
"18","str","","Bayangobi","","claystone",125,113,"CN",1,1
"19","str","","Baynshire","","",100.5,83.6,"MN",1,1
"20","str","","Bissekty","","sandstone,sandstone/conglomerate",93.5,89.3,"UZ",12,63
"21","str","","Blesa","Cabezo Gordo","claystone",130,125.45,"ES",1,7
"22","str","","Bostobe","","claystone,claystone/sandstone",86.3,70.6,"KZ",3,4
"23","str","","Burgersdorp","","""shale"",sandstone",247.2,242,"ZA",2,2
"24","str","","Cacheuta","","",237,208.5,"AR",1,1
"25","str","","Camarillas","","claystone,mudstone/sandstone",130,125.45,"ES",3,9
"26","str","","Cedar Mountain","Mussentuchit","sandstone",99.6,93.5,"US",2,6
"27","str","","Chañares","","",235,232,"BR",1,1
"28","str","","Chico","","""siliciclastic""",83.6,72.1,"US",1,1
"29","str","","Chinle","","sandstone,siltstone",228,201.3,"US",2,3
"30","str","","Chinle","Blue Mesa","mudstone/sandstone",228,208.5,"US",2,2
"31","str","","Chinle","Mesa Redondo","mudstone/claystone",228,208.5,"US",1,1
"32","str","","Chinle","Monitor Butte","",228,208.5,"US",1,1
"33","str","","Chinle","Petrified Forest","""carbonate"",mudstone,mudstone/wackestone",221.5,205.6,"US",3,3
"34","str","","Chorrillo","","claystone,mudstone",70.6,66,"AR",3,5
"35","str","","Cloverly","Himes","mudstone,mudstone/claystone",109,93.5,"US",9,15
"36","str","","Cloverly","Little Sheep Mudstone","claystone",125,100.5,"US",2,18
"37","str","","Coachman","","",83.5,70.6,"US",1,2
"38","str","","Dabrazhin","","sandstone",83.5,70.6,"KZ",1,6
"39","str","","Densuş-Ciula","Middle","claystone/marl,claystone/sandstone,mudstone,mudstone/conglomerate",70.6,66,"RO",6,10
"40","str","","Densuş-Ciula","Upper","sandstone",70.6,66,"RO",1,1
"41","str","","Djadokhta","","""siliciclastic"",sandstone,sandstone/mudstone",83.5,70.6,"MN",11,30
"42","str","","Djadokhta","Bayn Dzak","sandstone",83.5,70.6,"MN",5,21
"43","str","","Djadokhta","Tugrugyin","sandstone",83.5,70.6,"MN",4,7
"44","str","","Dorotea","","mudstone",83.5,66,"CL",2,3
"45","str","","Dzunbain","","sandstone/claystone",122.46,109,"MN",1,16
"46","str","","Eagle","Deadhorse Coulee","",86.3,83.6,"US",2,16
"47","str","","Ejinhoro","","sandstone",145,100.5,"CN",1,1
"48","str","","El Castellar","","""carbonate"",claystone,lime mudstone/""siliciclastic"",marl/""siliciclastic""",130,125.45,"ES",5,7
