"","orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","container_no","reference_no","is_extant","n_occs"
"1","39168",95363,"txn","B","infraorder","Cynodontia",NA,39168,"infraorder","Cynodontia",38935,"",16227,"extant",6323
"2","67366",67366,"txn","","unranked clade","Epicynodontia",NA,67366,"unranked clade","Epicynodontia",39168,"",23378,"extant",469
"3","361931",361931,"txn","","infraorder","Cynognathia",NA,361931,"infraorder","Cynognathia",67366,"",63559,"extinct",266
"4","171945",172479,"txn","","unranked clade","Gomphodontia",NA,171945,"unranked clade","Gomphodontia",361931,"",34025,"extinct",234
"5","39188",39188,"txn","","family","Diademodontidae",NA,39188,"family","Diademodontidae",171945,"",4783,"extinct",4
"6","39190",39190,"txn","","genus","Titanogomphodon",NA,39190,"genus","Titanogomphodon",39188,"",34203,"extinct",2
"7","172544",172544,"txn","","species","Titanogomphodon crassus",NA,172544,"species","Titanogomphodon crassus",39190,"",34203,"extinct",1
"8","39195",39195,"txn","","family","Traversodontidae",NA,39195,"family","Traversodontidae",171945,"",4783,"extinct",146
"9","117956",117956,"txn","","subfamily","Gomphodontosuchinae",NA,117956,"subfamily","Gomphodontosuchinae",39195,"",26508,"extinct",5
"10","39207",39207,"txn","","genus","Gomphodontosuchus",NA,39207,"genus","Gomphodontosuchus",117956,"",4783,"extinct",3
"11","100826",100826,"txn","","species","Gomphodontosuchus brasiliensis",NA,100826,"species","Gomphodontosuchus brasiliensis",39207,"",24388,"extinct",1
"12","265899",265899,"txn","","subfamily","Sinognathinae",NA,265899,"subfamily","Sinognathinae",39195,"",46432,"extinct",4
"13","265900",265900,"txn","","genus","Beishanodon",NA,265900,"genus","Beishanodon",265899,"",46432,"extinct",2
"14","265901",265901,"txn","","species","Beishanodon youngi",NA,265901,"species","Beishanodon youngi",265900,"",46432,"extinct",1
"15","39193",39193,"txn","","genus","Sinognathus",NA,39193,"genus","Sinognathus",265899,"",46431,"extinct",2
"16","265894",265894,"txn","","species","Sinognathus gracilis",NA,265894,"species","Sinognathus gracilis",39193,"",46431,"extinct",1
"17","117955",117955,"txn","","subfamily","Traversodontinae",NA,117955,"subfamily","Traversodontinae",39195,"",26508,"extinct",6
"18","39206",39206,"txn","","genus","Traversodon",NA,39206,"genus","Traversodon",117955,"",24667,"extinct",6
"19","100828",100828,"txn","","species","Traversodon stahleckeri",NA,100828,"species","Traversodon stahleckeri",39206,"",24667,"extinct",3
"20","39196",39196,"txn","","genus","Andescynodon",NA,39196,"genus","Andescynodon",39195,"",13920,"extinct",6
"21","66674",66674,"txn","","species","Andescynodon mendozensis",NA,66674,"species","Andescynodon mendozensis",39196,"",13920,"extinct",3
"22","146587",146587,"txn","","genus","Arctotraversodon",NA,146587,"genus","Arctotraversodon",39195,"",29895,"extinct",4
"23","146586",146588,"txn","","species","Arctotraversodon plemmyridon",NA,146586,"species","Arctotraversodon plemmyridon",146587,"",29895,"extinct",2
"24","167265",167265,"txn","","genus","Dadadon",NA,167265,"genus","Dadadon",39195,"",32680,"extinct",4
"25","167266",167266,"txn","","species","Dadadon isaloi",NA,167266,"species","Dadadon isaloi",167265,"",32680,"extinct",2
"26","426818",426818,"txn","","genus","Etjoia",NA,426818,"genus","Etjoia",39195,"",73870,"extinct",2
"27","426820",426820,"txn","","species","Etjoia dentitransitus",NA,426820,"species","Etjoia dentitransitus",426818,"",73870,"extinct",1
"28","39200",39200,"txn","","genus","Exaeretodon",NA,39200,"genus","Exaeretodon",39195,"",4783,"extinct",19
"29","376276",376276,"txn","","species","Exaeretodon argentinus",NA,376276,"species","Exaeretodon argentinus",39200,"",66773,"extinct",2
"30","100829",117948,"txn","","species","Exaeretodon major",NA,100829,"species","Exaeretodon major",39200,"",24667,"extinct",2
"31","333700",333700,"txn","","species","Exaeretodon riograndensis",NA,333700,"species","Exaeretodon riograndensis",39200,"",57411,"extinct",3
"32","171984",171984,"txn","","species","Exaeretodon statisticae",NA,171984,"species","Exaeretodon statisticae",39200,"",34032,"extinct",1
"33","94329",94329,"txn","","genus","Habayia",NA,94329,"genus","Habayia",39195,"",19880,"extinct",2
"34","94330",94330,"txn","","species","Habayia halbardieri",NA,94330,"species","Habayia halbardieri",94329,"",19880,"extinct",1
"35","39202",39202,"txn","","genus","Luangwa",NA,39202,"genus","Luangwa",39195,"",34183,"extinct",8
"36","172477",172477,"txn","","species","Luangwa drysdalli",NA,172477,"species","Luangwa drysdalli",39202,"",34183,"extinct",1
"37","180407",180407,"txn","","species","Luangwa sudamericana",NA,180407,"species","Luangwa sudamericana",39202,"",35589,"extinct",2
"38","302109",302109,"txn","","genus","Mandagomphodon",NA,302109,"genus","Mandagomphodon",39195,"",52174,"extinct",2
"39","302110",302113,"txn","","species","Mandagomphodon hirschsoni",NA,302110,"species","Mandagomphodon hirschsoni",302109,"",52175,"extinct",1
"40","39203",39203,"txn","","genus","Massetognathus",NA,39203,"genus","Massetognathus",39195,"",17303,"extinct",22
"41","117947",117947,"txn","","species","Massetognathus ochagaviae",NA,117947,"species","Massetognathus ochagaviae",39203,"",26508,"extinct",3
"42","80893",80893,"txn","","species","Massetognathus pascuali",NA,80893,"species","Massetognathus pascuali",39203,"",17303,"extinct",7
"43","376324",376324,"txn","","genus","Maubeugia",NA,376324,"genus","Maubeugia",39195,"",66786,"extinct",2
"44","376325",376325,"txn","","species","Maubeugia lotharingica",NA,376325,"species","Maubeugia lotharingica",376324,"",66786,"extinct",1
"45","167261",167261,"txn","","genus","Menadon",NA,167261,"genus","Menadon",39195,"",32680,"extinct",8
"46","167263",167263,"txn","","species","Menadon besairiei",NA,167263,"species","Menadon besairiei",167261,"",32680,"extinct",4
"47","194988",194988,"txn","","genus","Microscalenodon",NA,194988,"genus","Microscalenodon",39195,"",37039,"extinct",3
"48","194989",194989,"txn","","species","Microscalenodon nanus",NA,194989,"species","Microscalenodon nanus",194988,"",37039,"extinct",1
"49","172447",172447,"txn","","genus","Nanogomphodon",NA,172447,"genus","Nanogomphodon",39195,"",34174,"extinct",2
"50","172448",172448,"txn","","species","Nanogomphodon wildi",NA,172448,"species","Nanogomphodon wildi",172447,"",34174,"extinct",1
"51","482573",482573,"txn","","genus","Paratraversodon",NA,482573,"genus","Paratraversodon",39195,"",87423,"extinct",2
