Species	Status
Abdalodon_sp.	extinct
Acinacodus_sp.	extinct
Acristatherium_sp.	extinct
Adalatherium_sp.	extinct
Adelobasileus_sp.	extinct
Adelodelphys_sp.	extinct
Adinodon_sp.	extinct
Aegialodon_sp.	extinct
Aelurosuchus_sp.	extinct
Aenigmadelphys_sp.	extinct
Afriquiamus_sp.	extinct
Agilodocodon_sp.	extinct
Akidolestes_sp.	extinct
Alamitherium_sp.	extinct
Albertatherium_sp.	extinct
Albionbaatar_sp.	extinct
Aleodon_sp.	extinct
Aliaga_sp.	extinct
Allacodon_sp.	extinct
Alostera_sp.	extinct
Alphadon_sp.	extinct
Altacreodus_sp.	extinct
Alticonodon_sp.	extinct
Alymlestes_sp.	extinct
Ambilestes_sp.	extinct
Amblotherium_sp.	extinct
Ambolestes_sp.	extinct
Ambondro_sp.	extinct
Ameghinichnus_sp.	extinct
Ameribaatar_sp.	extinct
Amphibetulimus_sp.	extinct
Amphidon_sp.	extinct
Amphilestes_sp.	extinct
Amphitherium_sp.	extinct
Anchistodelphys_sp.	extinct
Andescynodon_sp.	extinct
Anebodon_sp.	extinct
Anthracolestes_sp.	extinct
Apistodon_sp.	extinct
Aploconodon_sp.	extinct
Aquiladelphis_sp.	extinct
Araeodon_sp.	extinct
Arboroharamiya_sp.	extinct
Archaeotrigon_sp.	extinct
Arctotraversodon_sp.	extinct
Argaliatherium_sp.	extinct
Argentoconodon_sp.	extinct
Argentodites_sp.	extinct
Argillomys_sp.	extinct
Arginbaatar_sp.	extinct
Arguimus_sp.	extinct
Arundelconodon_sp.	extinct
Asfaltomylos_sp.	extinct
Asiatherium_sp.	extinct
Asioryctes_sp.	extinct
Aspanlestes_sp.	extinct
Astroconodon_sp.	extinct
Atlasodon_sp.	extinct
Atokatheridium_sp.	extinct
Ausktribosphenos_sp.	extinct
Austrotriconodon_sp.	extinct
Avashishta_sp.	extinct
Avitotherium_sp.	extinct
Azilestes_sp.	extinct
Baidabatyr_sp.	extinct
Baioconodon_sp.	extinct
Barberenia_sp.	extinct
Barunlestes_sp.	extinct
Bathmochoffatia_sp.	extinct
Batodon_sp.	extinct
Bernardodon_sp.	extinct
Bienotherium_sp.	extinct
Bienotheroides_sp.	extinct
Bishops_sp.	extinct
Bistius_sp.	extinct
Bobolestes_sp.	extinct
Bolodon_sp.	extinct
Bolotridon_sp.	extinct
Bonacynodon_sp.	extinct
Bondesius_sp.	extinct
Borealestes_sp.	extinct
Boreogomphodon_sp.	extinct
Botucaraitherium_sp.	extinct
Brachyzostrodon_sp.	extinct
Brancatherulum_sp.	extinct
Brandonia_sp.	extinct
Brasilestes_sp.	extinct
Brasilitherium_sp.	extinct
Brasilodon_sp.	extinct
Bryceomys_sp.	extinct
Bubodens_sp.	extinct
Buginbaatar_sp.	extinct
Bulaklestes_sp.	extinct
Bulganbaatar_sp.	extinct
Camptomus_sp.	extinct
Candelariodon_sp.	extinct
Cantalera_sp.	extinct
Casamiquelia_sp.	extinct
Castorocauda_sp.	extinct
Catocapes_sp.	extinct
Catopsbaatar_sp.	extinct
Cedaromys_sp.	extinct
Chalepotherium_sp.	extinct
Chaliminia_sp.	extinct
Chaoyangodens_sp.	extinct
Charassognathus_sp.	extinct
Chiniquodon_sp.	extinct
Chulsanbaatar_sp.	extinct
Chunnelodon_sp.	extinct
Cifellilestes_sp.	extinct
Cifelliodon_sp.	extinct
Cimbriodon_sp.	extinct
Cimexomys_sp.	extinct
