"","class","order","family","genus","unique_name"
"1","Mammalia","","",""," sp."
"2","Mammalia","Deltatheroida","",""," sp."
"3","Osteichthyes","Docodonta","",""," sp."
"4","Mammalia","Dryolestida","",""," sp."
"5","Mammalia","Eupantotheria","",""," sp."
"6","Mammalia","Eutriconodonta","",""," sp."
"7","Mammalia","Insectivora","",""," sp."
"8","Mammalia","Meridiolestida","",""," sp."
"9","Mammalia","Monotremata","",""," sp."
"10","Osteichthyes","Morganucodonta","",""," sp."
"11","Mammalia","Multituberculata","",""," sp."
"12","Mammalia","Pantotheria","",""," sp."
"13","Mammalia","Peramura","",""," sp."
"14","Mammalia","Proteutheria","",""," sp."
"15","Mammalia","Prototribosphenida","",""," sp."
"16","Mammalia","Symmetrodonta","",""," sp."
"17","Osteichthyes","Therapsida","",""," sp."
"18","Mammalia","Triconodonta","",""," sp."
"19","Mammalia",NA,"",""," sp."
"20","Mammalia","Multituberculata","Albionbaataridae",""," sp."
"21","Mammalia","Multituberculata","Allodontidae",""," sp."
"22","Mammalia",NA,"Alphadontidae",""," sp."
"23","Mammalia",NA,"Amphidontidae",""," sp."
"24","Mammalia",NA,"Amphilestidae",""," sp."
"25","Mammalia",NA,"Amphitheriidae",""," sp."
"26","Osteichthyes","Therapsida","Brasilodontidae",""," sp."
"27","Mammalia","Multituberculata","Cimolodontidae",""," sp."
"28","Mammalia","Multituberculata","Cimolomyidae",""," sp."
"29","Osteichthyes","Therapsida","Cynognathidae",""," sp."
"30","Mammalia","Deltatheroida","Deltatheridiidae",""," sp."
"31","Osteichthyes","Therapsida","Diademodontidae",""," sp."
"32","Mammalia","Didelphimorphia","Didelphidae",""," sp."
"33","Osteichthyes","Docodonta","Docodontidae",""," sp."
"34","Osteichthyes","Therapsida","Dromatheriidae",""," sp."
"35","Mammalia",NA,"Dryolestidae",""," sp."
"36","Mammalia",NA,"Eleutherodontidae",""," sp."
"37","Mammalia","Multituberculata","Eobaataridae",""," sp."
"38","Mammalia","Multituberculata","Eucosmodontidae",""," sp."
"39","Osteichthyes","Therapsida","Galesauridae",""," sp."
"40","Mammalia","Eutriconodonta","Gobiconodontidae",""," sp."
"41","Osteichthyes","Therapsida","Gomphodontidae",""," sp."
"42","Mammalia",NA,"Hahnodontidae",""," sp."
"43","Mammalia","Multituberculata","Hahnotheriidae",""," sp."
"44","Osteichthyes","Therapsida","Haramiyidae",""," sp."
"45","Mammalia","Multituberculata","Haramyidae",""," sp."
"46","Mammalia","Multituberculata","Kermackodontidae",""," sp."
"47","Osteichthyes","Therapsida","Kuehneotheriidae",""," sp."
"48","Mammalia","Meridiolestida","Mesungulatidae",""," sp."
"49","Osteichthyes","Morganucodonta","Morganucodontidae",""," sp."
"50","Mammalia","Multituberculata","Neoplagiaulacidae",""," sp."
"51","Mammalia",NA,"Nyctitheriidae",""," sp."
"52","Mammalia","Proteutheria","Palaeoryctidae",""," sp."
"53","Mammalia",NA,"Pappotheriidae",""," sp."
"54","Mammalia","Multituberculata","Paulchoffatiidae",""," sp."
"55","Mammalia",NA,"Paurodontidae",""," sp."
"56","Mammalia",NA,"Pediomyidae",""," sp."
"57","Mammalia","","Peradectidae",""," sp."
"58","Mammalia","Peramura","Peramuridae",""," sp."
"59","Mammalia",NA,"Periptychidae",""," sp."
"60","Mammalia","Multituberculata","Pinheirodontidae",""," sp."
"61","Mammalia","Multituberculata","Plagiaulacidae",""," sp."
"62","Mammalia","Multituberculata","Ptilodontidae",""," sp."
"63","Mammalia",NA,"Spalacotheriidae",""," sp."
"64","Mammalia",NA,"Stagodontidae",""," sp."
"65","Mammalia",NA,"Sudamericidae",""," sp."
"66","Osteichthyes","Docodonta","Tegotheriidae",""," sp."
"67","Mammalia",NA,"Tinodontidae",""," sp."
"68","Osteichthyes","Therapsida","Traversodontidae",""," sp."
"69","Mammalia","Eutriconodonta","Triconodontidae",""," sp."
"70","Osteichthyes","Therapsida","Tritheledontidae",""," sp."
"71","Osteichthyes","Therapsida","Tritylodontidae",""," sp."
"72","Mammalia",NA,"Zalambdalestidae",""," sp."
"73","Mammalia",NA,"Zhelestidae",""," sp."
"74","Osteichthyes","Therapsida","Charassognathidae","Abdalodon","Abdalodon sp."
"75","Mammalia",NA,"Amphidontidae","Acinacodus","Acinacodus sp."
"76","Mammalia",NA,NA,"Acristatherium","Acristatherium sp."
"77","Mammalia",NA,"Adalatheriidae","Adalatherium","Adalatherium sp."
"78","Osteichthyes","Therapsida",NA,"Adelobasileus","Adelobasileus sp."
"79","Mammalia",NA,NA,"Adelodelphys","Adelodelphys sp."
"80","Mammalia",NA,NA,"Adinodon","Adinodon sp."
"81","Mammalia",NA,NA,"Aegialodon","Aegialodon sp."
"82","Osteichthyes","Therapsida",NA,"Aelurosuchus","Aelurosuchus sp."
"83","Mammalia",NA,NA,"Aenigmadelphys","Aenigmadelphys sp."
"84","Mammalia","Peramura","Peramuridae","Afriquiamus","Afriquiamus sp."
"85","Osteichthyes","Docodonta",NA,"Agilodocodon","Agilodocodon sp."
"86","Mammalia",NA,"Spalacotheriidae","Akidolestes","Akidolestes sp."
"87","Mammalia","Dryolestida","Casamiquelidae","Alamitherium","Alamitherium sp."
"88","Mammalia",NA,"Alphadontidae","Albertatherium","Albertatherium sp."
"89","Mammalia","Multituberculata","Albionbaataridae","Albionbaatar","Albionbaatar sp."
"90","Osteichthyes","Therapsida",NA,"Alemoatherium","Alemoatherium sp."
"91","Osteichthyes","Therapsida",NA,"Aleodon","Aleodon sp."
"92","Mammalia",NA,"Spalacotheriidae","Aliaga","Aliaga sp."
"93","Mammalia","Multituberculata","Allodontidae","Allacodon","Allacodon sp."
"94","Mammalia",NA,"Zhelestidae","Alostera","Alostera sp."
"95","Mammalia",NA,"Alphadontidae","Alphadon","Alphadon sp."
"96","Mammalia","Creodonta",NA,"Altacreodus","Altacreodus sp."
"97","Mammalia","Eutriconodonta","Triconodontidae","Alticonodon","Alticonodon sp."
"98","Mammalia",NA,"Zalambdalestidae","Alymlestes","Alymlestes sp."
"99","Mammalia","Cimolesta","Cimolestidae","Ambilestes","Ambilestes sp."
"100","Mammalia",NA,"Dryolestidae","Amblotherium","Amblotherium sp."
"101","Mammalia",NA,NA,"Ambolestes","Ambolestes sp."
"102","Mammalia",NA,NA,"Ambondro","Ambondro sp."
"103","Mammalia",NA,NA,"Ameghinichnus","Ameghinichnus sp."
"104","Mammalia","Multituberculata",NA,"Ameribaatar","Ameribaatar sp."
"105","Mammalia",NA,"Amphitheriidae","Amphibetulimus","Amphibetulimus sp."
"106","Mammalia",NA,"Amphidontidae","Amphidon","Amphidon sp."
"107","Mammalia",NA,"Amphilestidae","Amphilestes","Amphilestes sp."
"108","Mammalia",NA,"Amphitheriidae","Amphitherium","Amphitherium sp."
"109","Mammalia",NA,NA,"Anchistodelphys","Anchistodelphys sp."
"110","Osteichthyes","Therapsida","Traversodontidae","Andescynodon","Andescynodon sp."
"111","Mammalia",NA,"Zhangheotheriidae","Anebodon","Anebodon sp."
"112","Mammalia",NA,"Dryolestidae","Anthracolestes","Anthracolestes sp."
"113","Mammalia",NA,NA,"Apistodon","Apistodon sp."
"114","Mammalia",NA,"Amphilestidae","Aploconodon","Aploconodon sp."
"115","Mammalia",NA,"Aquiladelphidae","Aquiladelphis","Aquiladelphis sp."
"116","Mammalia",NA,"Paurodontidae","Araeodon","Araeodon sp."
"117","Mammalia",NA,"Arboroharamiyidae","Arboroharamiya","Arboroharamiya sp."
"118","Mammalia",NA,"Paurodontidae","Archaeotrigon","Archaeotrigon sp."
"119","Osteichthyes","Therapsida","Traversodontidae","Arctotraversodon","Arctotraversodon sp."
"120","Mammalia",NA,NA,"Argaliatherium","Argaliatherium sp."
"121","Mammalia","Eutriconodonta","Triconodontidae","Argentoconodon","Argentoconodon sp."
"122","Mammalia",NA,NA,"Argentodites","Argentodites sp."
"123","Mammalia","Multituberculata",NA,"Argillomys","Argillomys sp."
"124","Mammalia","Multituberculata","Arginbaataridae","Arginbaatar","Arginbaatar sp."
"125","Mammalia",NA,NA,"Arguimus","Arguimus sp."
"126","Mammalia","Eutriconodonta","Triconodontidae","Arundelconodon","Arundelconodon sp."
"127","Mammalia",NA,"Henosferidae","Asfaltomylos","Asfaltomylos sp."
"128","Mammalia",NA,NA,"Asiatherium","Asiatherium sp."
"129","Mammalia",NA,"Asioryctidae","Asioryctes","Asioryctes sp."
"130","Mammalia",NA,"Zhelestidae","Aspanlestes","Aspanlestes sp."
"131","Mammalia","Eutriconodonta","Triconodontidae","Astroconodon","Astroconodon sp."
"132","Mammalia",NA,NA,"Atlasodon","Atlasodon sp."
"133","Mammalia","Deltatheroida","Deltatheridiidae","Atokatheridium","Atokatheridium sp."
"134","Mammalia",NA,NA,"Ausktribosphenos","Ausktribosphenos sp."
"135","Mammalia","Meridiolestida",NA,"Austrotriconodon","Austrotriconodon sp."
"136","Mammalia","Multituberculata","Haramyidae","Avashishta","Avashishta sp."
"137","Mammalia",NA,"Zhelestidae","Avitotherium","Avitotherium sp."
"138","Mammalia",NA,"Zhelestidae","Azilestes","Azilestes sp."
"139","Mammalia","Multituberculata",NA,"Baidabatyr","Baidabatyr sp."
"140","Mammalia","Procreodi","Arctocyonidae","Baioconodon","Baioconodon sp."
"141","Mammalia",NA,NA,"Barberenia","Barberenia sp."
"142","Mammalia",NA,"Zalambdalestidae","Barunlestes","Barunlestes sp."
"143","Mammalia","Multituberculata","Paulchoffatiidae","Bathmochoffatia","Bathmochoffatia sp."
"144","Mammalia","Cimolesta","Cimolestidae","Batodon","Batodon sp."
"145","Mammalia","Multituberculata","Pinheirodontidae","Bernardodon","Bernardodon sp."
"146","Osteichthyes","Therapsida","Tritylodontidae","Bienotherium","Bienotherium sp."
"147","Osteichthyes","Therapsida","Tritylodontidae","Bienotheroides","Bienotheroides sp."
"148","Mammalia",NA,NA,"Bishops","Bishops sp."
"149","Mammalia",NA,NA,"Bistius","Bistius sp."
"150","Mammalia",NA,"Bobolestidae","Bobolestes","Bobolestes sp."
"151","Mammalia","Multituberculata","Plagiaulacidae","Bolodon","Bolodon sp."
"152","Osteichthyes","Therapsida","Galesauridae","Bolotridon","Bolotridon sp."
"153","Osteichthyes","Therapsida","Probainognathidae","Bonacynodon","Bonacynodon sp."
"154","Mammalia",NA,"Bondesiidae","Bondesius","Bondesius sp."
"155","Osteichthyes","Docodonta","Docodontidae","Borealestes","Borealestes sp."
"156","Osteichthyes","Therapsida",NA,"Boreogomphodon","Boreogomphodon sp."
"157","Osteichthyes","Therapsida",NA,"Botucaraitherium","Botucaraitherium sp."
"158","Osteichthyes","Morganucodonta","Morganucodontidae","Brachyzostrodon","Brachyzostrodon sp."
"159","Mammalia","Eupantotheria",NA,"Brancatherulum","Brancatherulum sp."
"160","Mammalia",NA,NA,"Brandonia","Brandonia sp."
"161","Mammalia",NA,NA,"Brasilestes","Brasilestes sp."
"162","Osteichthyes","Therapsida","Brasilodontidae","Brasilitherium","Brasilitherium sp."
"163","Osteichthyes","Therapsida","Brasilodontidae","Brasilodon","Brasilodon sp."
"164","Mammalia","Multituberculata",NA,"Bryceomys","Bryceomys sp."
"165","Mammalia","Multituberculata","Taeniolabididae","Bubodens","Bubodens sp."
"166","Mammalia","Multituberculata","Cimolomyidae","Buginbaatar","Buginbaatar sp."
"167","Mammalia",NA,NA,"Bulaklestes","Bulaklestes sp."
"168","Mammalia","Multituberculata",NA,"Bulganbaatar","Bulganbaatar sp."
"169","Mammalia",NA,NA,"Camptomus","Camptomus sp."
"170","Osteichthyes","Therapsida",NA,"Candelariodon","Candelariodon sp."
"171","Mammalia","Multituberculata","Pinheirodontidae","Cantalera","Cantalera sp."
"172","Mammalia","Dryolestida","Casamiquelidae","Casamiquelia","Casamiquelia sp."
