"","genus","clades"
"1","Acinacodus sp.","Mammalia"
"2","Acristatherium sp.","Mammalia"
"3","Adalatherium sp.","Mammalia"
"4","Adelodelphys sp.","Mammalia"
"5","Adinodon sp.","Mammalia"
"6","Aegialodon sp.","Mammalia"
"7","Aenigmadelphys sp.","Mammalia"
"8","Afriquiamus sp.","Mammalia"
"9","Akidolestes sp.","Mammalia"
"10","Alamitherium sp.","Mammalia"
"11","Albertatherium sp.","Mammalia"
"12","Albionbaatar sp.","Mammalia"
"13","Aliaga sp.","Mammalia"
"14","Allacodon sp.","Mammalia"
"15","Alostera sp.","Mammalia"
"16","Alphadon sp.","Mammalia"
"17","Altacreodus sp.","Mammalia"
"18","Alticonodon sp.","Mammalia"
"19","Alymlestes sp.","Mammalia"
"20","Ambilestes sp.","Mammalia"
"21","Amblotherium sp.","Mammalia"
"22","Ambolestes sp.","Mammalia"
"23","Ambondro sp.","Mammalia"
"24","Ameghinichnus sp.","Mammalia"
"25","Ameribaatar sp.","Mammalia"
"26","Amphibetulimus sp.","Mammalia"
"27","Amphidon sp.","Mammalia"
"28","Amphilestes sp.","Mammalia"
"29","Amphitherium sp.","Mammalia"
"30","Anchistodelphys sp.","Mammalia"
"31","Anebodon sp.","Mammalia"
"32","Anthracolestes sp.","Mammalia"
"33","Apistodon sp.","Mammalia"
"34","Aploconodon sp.","Mammalia"
"35","Aquiladelphis sp.","Mammalia"
"36","Araeodon sp.","Mammalia"
"37","Arboroharamiya sp.","Mammalia"
"38","Archaeotrigon sp.","Mammalia"
"39","Argaliatherium sp.","Mammalia"
"40","Argentoconodon sp.","Mammalia"
"41","Argentodites sp.","Mammalia"
"42","Argillomys sp.","Mammalia"
"43","Arginbaatar sp.","Mammalia"
"44","Arguimus sp.","Mammalia"
"45","Arundelconodon sp.","Mammalia"
"46","Asfaltomylos sp.","Mammalia"
"47","Asiatherium sp.","Mammalia"
"48","Asioryctes sp.","Mammalia"
"49","Aspanlestes sp.","Mammalia"
"50","Astroconodon sp.","Mammalia"
"51","Atlasodon sp.","Mammalia"
"52","Atokatheridium sp.","Mammalia"
"53","Ausktribosphenos sp.","Mammalia"
"54","Austrotriconodon sp.","Mammalia"
"55","Avashishta sp.","Mammalia"
"56","Avitotherium sp.","Mammalia"
"57","Azilestes sp.","Mammalia"
